Date,Open,High,Low,Close,Adjust_Close,Volume
2000-01-31,6.13,6.23,6.13,6.22,5.54,1695200
2000-01-28,6.13,6.19,6.03,6.09,5.43,1528800
2000-01-27,6.23,6.23,6.13,6.13,5.46,1291200
2000-01-26,6.25,6.28,6.16,6.23,5.55,2034800
2000-01-25,6.11,6.25,6.08,6.22,5.54,1888800
2000-01-24,6.34,6.39,6.09,6.09,5.43,3837200
2000-01-21,6.38,6.41,6.31,6.34,5.65,2832000
2000-01-20,6.36,6.45,6.33,6.45,5.75,4654400
2000-01-19,6.44,6.45,6.34,6.38,5.68,4051600
2000-01-18,6.53,6.55,6.25,6.42,5.72,1672800
2000-01-14,6.56,6.59,6.25,6.50,5.79,609600
2000-01-13,6.36,6.53,6.34,6.52,5.80,1320400
2000-01-12,6.45,6.45,6.28,6.34,5.64,451200
2000-01-11,6.61,6.66,6.38,6.38,5.68,3196400
2000-01-10,6.57,6.75,6.56,6.56,5.85,1814800
2000-01-07,6.36,6.50,6.28,6.42,5.72,1521200
2000-01-06,6.27,6.41,6.25,6.28,5.60,1035600
2000-01-05,6.47,6.47,6.25,6.28,5.60,1970400
2000-01-04,6.72,6.75,6.25,6.38,5.68,2580000
2000-01-03,6.55,6.78,6.34,6.69,5.96,2603600
